,FID_1,ProjectNo,Dist,AddMPOName,IDENTIFIER,IDENTIFI_1,DESC_,PROJTYPE,ESTIMPRVAS,ROUTEORDER,TYCOUNTYDI,Routeuniqu,BEGINNINGM,ENDINGMILE,TYROUTENAM,EEC_Intersection,ProjectN_1,Roadway_EEC,Final_EEC
624,714,625,7,Bluegrass ADD,IP20080477,,Reconstruct KY 2906 (Connector Rd) from US 460 (Paris Pk) to US 62 (Cherry Blossom Way).,Reconstruction,Modernize Roadway-Rural,1,Scott,105-KY-2906  -000,0.0,1.1179999999999999,Existing,112.02807150000001,625,68.008103509,180.036175009
401,97,402,5,Louisville-Southern Indiana (KIPDA) MPO,IP20080218,May-53,"IMPROVE THE HURSTBOURNE PARKWAY (KY 1747) AT SHELBYVILLE ROAD (US 60) INTERSECTION TO INCREASE CAPACITY, REDUCE DELAYS, AND IMPROVE SAFETY.(SEE 5-344.02) (16CCN)",SAFETY(P),Improve Intersection,2,Jefferson,056-US-0060  -000,7.709,7.96,Existing,75.02649620000001,402,103.55262578853839,178.57912198853842
440,486,441,5,Louisville-Southern Indiana (KIPDA) MPO,IP20150185,5-41.10,SNYDER FREEWAY; RECONSTRUCT I-265/US-60 INTERCHANGE AS A SINGLE POINT URBAN INTERCHANGE AND CONSTRUCT NEEDED IMPROVEMENTS TO CONNECT WITH THE I-265/I-64 INTERCHANGE. (2006BOPC),I-CHANGE RECONST(O),Innovative Interchange,2,Jefferson,056-US-0060  -000,11.7,12.3,Existing,45.86113774,441,128.12315293400002,173.98429067400002
433,828,434,5,Louisville-Southern Indiana (KIPDA) MPO,IP20150032,5-557,IMPROVE SAFETY AND REDUCE CONGESTION ON I-71 FROM ZORN AVENUE TO I-265.,MAJOR WIDENING(O),Add Lane to Full Control Facility,1,Jefferson,056-I -0071  -000,1.724,9.0,Existing,-1.700166963,434,169.96611752028173,168.26595055728174
450,512,451,5,KIPDA ADD,IP20150314,11-May,WIDEN KY-53 TO FOUR LANES FROM I-64 TO US-60.(08CCN)(10CCN) (12CCR)(14CCR)(16CCR)(18CCR),RECONSTRUCTION(O),2 Lane to 4 Lane Divided - Rural,1,Shelby,106-KY-0053  -000,6.064,8.006,Existing,57.37515482,451,102.28609875862749,159.66125357862748
443,539,444,5,Louisville-Southern Indiana (KIPDA) MPO,IP20150201,5-150.50,SECTION 5 - FROM US-31EX TO US-31E BYPASS. (2008BOPC).,RECONSTRUCTION(O),Major Widening-Urban Streets,1,Bullitt,015-KY-0044  -000,22.8,23.25,Existing,107.07158090000001,444,50.884245229950764,157.95582612995076
668,470,669,7,Lexington MPO,IP20190160,,Address congestion and improve safety on US 60 (Winchester Rd) and Man O' War Blvd (KY 1425 & CS 4524) creating an alternative route between Sir Barton Way (CS 2636) and Polo Club Blvd (CS 2548),New Route,Construct Road in New Location,1,Fayette,034-US-0060  -000,11.45,12.45,Existing,50.10919153,669,103.79163170294686,153.90082323294686
530,769,531,5,Louisville-Southern Indiana (KIPDA) MPO,IP20180043,5-80001,WIDEN US-60 TO 6 LANES FROM OLD SHELBYVILLE RD. TO NORTH ENGLISH STATION RD.(18CCN),MAJOR WIDENING(O),Major Widening-Urban Streets,1,Jefferson,056-US-0060  -000,11.093,11.684000000000001,Existing,53.83864454,531,92.96944963,146.80809417
296,231,297,3,Barren River ADD,IP20190110,,Reduce congestion and increase mobility at the US 231 intersection with US 68 and US 68X.,Spot Improvement,Improve Intersection,2,Warren,114-US-0068  -000,9.28,9.38,Existing,115.7727169,297,21.368942923549646,137.14165982354965
533,628,534,5,Louisville-Southern Indiana (KIPDA) MPO,IP20190047,5-483.30,CONSTRUCT NEW I-71 INTERCHANGE BETWEEN KY-393 AND KY-53 TO RELIEVE CONGESTION IN LAGRANGE.,NEW INTERCHANGE(O),Grade Separated to Interchange,3,Oldham,093-KY-0053  -000,6.064,6.655,Impacted,34.03126707,534,101.45818670700002,135.48945377700002
622,673,623,7,Bluegrass ADD,IP20080466,,Improve roadway capacity & typical section on US 460 from E Main St to 300ft W of Cherry Blossom Way.,Reconstruction,Modernize Roadway-Rural,1,Scott,105-US-0460  -000,10.185,10.763,Existing,62.77808348,623,72.46667637254879,135.24475985254878
636,805,637,7,Lexington MPO,IP20150142,7-412,"REPLACE L&N RAILROAD BRIDGE OVERPASS (MP 8.378), IMPROVE DRAINAGE AND TYPICAL SECTION ON US 27 (NORTH BROADWAY)(12CCR)(14CCR)(16CCR)(18CCN)",RECONSTRUCTION(O),Modernize Roadway-Rural,1,Fayette,034-US-0027  -000,8.565,8.691,Existing,133.74059640000002,637,0.8189188155885605,134.5595152155886
655,668,656,7,Lexington MPO,IP20160135,2-Jul,IMPROVE LIBERTY ROAD FROM GRAFTONS MILL LANE TO NEW CIRCLE ROAD AND IMPROVE INTERSECTION WITH NEW CIRCLE ROAD. (16CCN)(18CCR),MAJOR WIDENING(O),Modernize Roadway-Urban,1,Fayette,034-KY-1927  -000,0.0,1.175,Existing,66.08389079,656,63.20011141890827,129.28400220890828
508,604,509,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160218,5-391.30,IMPROVE OPERATIONAL PERFORMANCE OF THE I-65/KY-480 INTERCHANGE INCLUDING RAMP IMPROVEMENTS AND TURNING LANES. (12CCR)(14CCR)(2014BOP)(16CCR),RECONSTRUCTION(O),Innovative Interchange,3,Bullitt,015-KY-0480  -000,0.8,1.3,Existing,48.79484946,509,80.15522833515996,128.95007779515996
749,779,750,8,Lake Cumberland ADD,IP20190162,,"Preliminary Engineering Study for Improving Safety, Increase Mobility and Capacity from US 127X/Clear Springs Rd to KY 80.",Major Widening,Major Widening-Urban Streets,1,Russell,104-US-0127  -000,14.142000000000001,18.902,Existing,75.1799562,750,48.70292152900001,123.88287772900001
552,518,553,6,Northern Kentucky ADD,IP20080274,,Inactive,Major Widening,Improve Intersection,1,Boone,008-KY-0842  -000,4.9,5.2,Existing,67.00225411,553,53.738334259596755,120.74058836959675
906,890,907,12,Big Sandy ADD,IP20080654,,"Address congestion and crash issues on KY 321, from 6th Street to the Junction of KY 321 and KY 40.",Congestion Management,Modernize Roadway-Rural,1,Johnson,058-KY-0321  -000,7.07,8.791,Existing,-20.10682497,907,136.88878458800002,116.78195961800002
642,447,643,7,Lexington MPO,IP20150307,7-252,IMPROVE NEWTOWN PIKE FROM KY-4 TO I-75. (16CCR)(18CCR)(SEE 7-252.01 FOR BREAKOUT SECTION LET TO CONSTRUCTION IN MAY 2010),MAJOR WIDENING(O),Arterial to Partial Control,1,Fayette,034-KY-0922  -000,1.65,3.4,Existing,-53.27683537,643,166.4336679727787,113.15683260277869
502,485,503,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160190,5-247.10,WIDEN BLUE LICK ROAD FROM SNYDER FREEWAY NORTH TO KY-61 (LOU T.I.P.) (SECTION 2) (RU-04DEOB)(08CCR)(12CCR)(16CCR),MAJOR WIDENING(O),Install Two-way Left Turn Lane,1,Jefferson,056-KY-1450  -000,1.8730000000000002,3.542,Existing,59.73949459,503,53.15140070377291,112.8908952937729
164,234,165,2,Pennyrile ADD,IP20150211,5-Feb,IMPROVE NORTH MAIN STREET FROM HOSPITAL DRIVE TO KY-281. (06CCN)(12CCR)(18CCR),MAJOR WIDENING(O),Modernize Roadway-Rural,1,Hopkins,054-US-0041  -000,16.989,17.548,Existing,26.30467715,165,85.00281423199999,111.307491382
295,327,296,3,Barren River ADD,IP20190110,,Reduce congestion and increase mobility at the US 231 intersection with US 68 and US 68X.,Spot Improvement,Improve Intersection,1,Warren,114-US-0231  -000,13.832,13.882,Existing,110.2933525,296,-0.498005927504712,109.79534657249529
342,176,343,4,Lake Cumberland ADD,IP20100059,,EXTEND KY 3350 (CAMPBELLSVILLE BYPASS) FROM KY 289 TO US 68 ON THE EAST SIDE OF CAMPBELLSVILLE.,New Route,Construct Road in New Location,4,Taylor,109-KY-0210  -000,16.102,16.625999999999998,Impacted,82.90318938,343,23.865696279,106.768885659
448,681,449,5,Louisville-Southern Indiana (KIPDA) MPO,IP20150293,5-344.01 / 5-344.02,WIDEN SOUTHBOUND HURSTBOURNE LANE TO 3 LANES FROM LINN STATION RD (CS-1004H) TO EDEN AVE (CS-1660H). (06CCR)(03KYD)(2006BOPP)(SEE 5-344.02 FOR KYD C PHASE)(14CCR)(XCHNG UNDER 5-8953),RECONSTRUCTION(O),Major Widening-Urban Streets,1,Jefferson,056-KY-1747  -000,12.289000000000001,13.632,Existing,8.795228076,449,96.262379696,105.057607772
400,398,401,5,Louisville-Southern Indiana (KIPDA) MPO,IP20080218,May-53,"IMPROVE THE HURSTBOURNE PARKWAY (KY 1747) AT SHELBYVILLE ROAD (US 60) INTERSECTION TO INCREASE CAPACITY, REDUCE DELAYS, AND IMPROVE SAFETY.(SEE 5-344.02) (16CCN)",SAFETY(P),Improve Intersection,1,Jefferson,056-KY-1747  -000,13.4,13.6,Existing,61.10625453,401,39.71898273543171,100.82523726543171
526,731,527,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160276,5-367.20,EXTENSION OF OLD HENRY ROAD EAST TO ASH AVENUE (KY362). (12CCR)(18CCN),NEW ROUTE(O),Construct Road in New Location,3,Jefferson,056-KY-0146  -000,7.43,8.825,Impacted,72.95356616,527,26.84265916940884,99.79622532940883
678,501,679,8,Lake Cumberland ADD,IP20060247,,Improve Safety along KY 55 from US 127 to Cumberland Parkway.,Reconstruction,Modernize Roadway-Rural,1,Adair,001-KY-0055  -000,0.0,10.059,Existing,-2.5346678590000002,679,97.2881631921192,94.7534953331192
556,562,557,6,Northern Kentucky ADD,IP20080295,6-448,IMPROVE SAFETY AND REDUCE CONGESTION AT THE I-275 INTERCHANGE WITH KY-9 (AA HWY.),CONGESTION MITIGTN(O),Innovative Interchange,1,Campbell,019-KY-0009  -000,17.525,17.977999999999998,Existing,-3.284467517,557,96.5927719776042,93.3083044606042
48,7,49,1,Purchase ADD,IP20110174,,"Address safety, service, and access issues from Purchase Parkway to US 641 south in Draffenville.",Spot Improvement,Modernize Roadway-Rural,1,Marshall,079-US-0068  -000,9.415,10.032,Existing,53.89923307,49,33.00275545873166,86.90198852873166
463,644,464,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160017,5-559,IMPROVE SAFETY AND REDUCE CONGESTION AT THE I-65/I-264 (WATTERSON EXPRESSWAY) INTERCHANGE.,RECONSTRUCTION(O),Major Interchange Reconstruction,2,Jefferson,056-I -0264  -000,10.6,13.0,Existing,45.23486901,464,40.402271589767,85.637140599767
792,691,793,9,FIVCO ADD,IP20150210,9-144,IMPROVE KY-7/KY-1 (CAROL MALONE BLVD.) FROM LITTLE SANDY RIVER BRIDGE TO ACADEMIC PARKWAY. (08CCR)(12CCR)(16CCR),MAJOR WIDENING(O),Modernize Roadway-Rural,1,Carter,022-KY-0007  -000,10.318,10.865,Existing,59.12437977,793,26.117144902967354,85.24152467296736
340,369,341,4,Lake Cumberland ADD,IP20100059,,EXTEND KY 3350 (CAMPBELLSVILLE BYPASS) FROM KY 289 TO US 68 ON THE EAST SIDE OF CAMPBELLSVILLE.,New Route,Construct Road in New Location,2,Taylor,109-US-0068  -000,4.87,8.8,Impacted,42.54151351,341,41.86546791575483,84.40698142575482
483,671,484,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160046,5-804,"RECONSTRUCT/WIDEN I-264 (WATTERSON EXPRESSWAY) FROM WESTPORT ROAD (KY-1447) TO I-71, INCLUDING THE US-42 INTERCHANGE AS A SPUI.(PROJECT INCLUDES 5-594) (12CCR)(14CCR)",RECONSTRUCTION(O),Innovative Interchange,1,Jefferson,056-I -0264  -000,20.9,22.6,Existing,35.62597956,484,48.01603512167977,83.64201468167977
654,505,655,7,Lexington MPO,IP20150437,7-414 / 7-414.10,"IMPROVE ROADWAY GEOMETRICS, TYPICAL SECTION, AND ROADWAY HAZARDS ON KY 1980 (BRANNON RD) FROM US 68 (HARRODSBURG RD) TO US 27 (NICHOLASVILLE RD). BEGIN RIGHT OF WAY PURCHASE FROM US-68 EASTWARD TO RAILROAD CROSSING.(18CCN)",SAFETY(P),Modernize Roadway-Rural,1,Jessamine,057-KY-1980  -000,0.0,3.205,Existing,44.68975894,655,36.76271586100001,81.45247480100001
421,639,422,5,KIPDA ADD,IP20110225,May-58,WIDEN KY 55X FROM TWO TO FIVE LANES FROM US 60 (MP 0.0) NORTH TO KY 43 (MP 1.354).(16CCN),RECONSTRUCTION(O),Major Widening-Urban Streets,1,Shelby,106-KY-0055  -000,0.0,1.354,Existing,0.710828715,422,79.18320282438464,79.89403153938464
631,475,632,7,Bluegrass ADD,IP20130003,7-440,IMPROVE KY-169 FROM NORTH OF CLEAR CREEK RD IN JESSAMINE COUNTY TO NORTH OF KY-1967 IN WOODFORD COUNTY.,RECONSTRUCTION(O),Modernize Roadway-Rural,1,Woodford,120-KY-0169  -000,0.0,3.0,Existing,3.750608754,632,75.96430222839996,79.71491098239996
403,242,404,5,Louisville-Southern Indiana (KIPDA) MPO,IP20080244,5-80005,IMPROVE THE INTERCHANGE OF I 71 AND KY 329. (18CCN),SAFETY(P),Interchange Safety Improvements,2,Oldham,093-KY-0329  -000,6.65,7.07,Existing,55.97491238,404,21.108916020001267,77.08382840000127
564,491,565,6,Northern Kentucky ADD,IP20080361,6-450,IMPROVE SAFETY AND REDUCE CONGESTION ALONG KY-1303 (TURKEYFOOT RD) FROM DUDLEY RD TO US-25 (DIXIE HWY). (18CCR),CONGESTION MITIGTN(O),Modernize Roadway-Rural,1,Kenton,059-KY-1303  -000,5.01,6.247999999999999,Existing,21.96384162,565,54.87389864219067,76.83774026219066
550,432,551,6,Northern Kentucky ADD,IP20070208,6-449,IMPROVE SAFETY AND REDUCE CONGESTION ON KY-17 AT THE I-275 INTERCHANGE. (18CCR),CONGESTION MITIGTN(O),Innovative Interchange,1,Kenton,059-KY-0017  -000,18.15,18.65,Existing,17.79797571,551,58.04556017526327,75.84353588526326
681,783,682,8,Lake Cumberland ADD,IP20060250,,"Reduce congestion and improve capacity, safety and mobility on US 127 between the west bypass of Jamestown to the Cumberland Parkway.  See segment 12 in June 1998 Advance Planning Study",Reconstruction,Modernize Roadway-Rural,1,Russell,104-US-0127  -000,14.142000000000001,18.195,Existing,32.24194731,682,42.89091890577815,75.13286621577815
699,598,700,8,Lake Cumberland ADD,IP20100058,,Provide connectivity and improved mobility from KY 80 to KY 1577.,New Route,Construct Road in New Location,1,Pulaski,100-US-0027  -000,15.5,17.0,Existing,-86.60863752,700,161.5611831917755,74.95254567177551
682,684,683,8,Lake Cumberland ADD,IP20060251,,"Reduce congestion and improve safety, capacity and mobility along US 127 from the Cumberland Parkway to Lakeway drive KY 379 in Russell Springs.",Reconstruction,Modernize Roadway-Rural,1,Russell,104-US-0127  -000,17.872,19.086,Existing,52.53803724,683,22.10352794615088,74.64156518615088
310,391,311,4,Lincoln Trail ADD,IP20060232,,ADDRESS CONGESTION ALONG US 62 IN BARDSTOWN FROM KY 245 TO KY 605.,Major Widening,Modernize Roadway-Rural,1,Nelson,090-US-0062  -000,15.919,17.234,Existing,43.3406069,311,29.788075674999995,73.128682575
372,2,373,4,Lincoln Trail ADD,IP20160072,Apr-54,EXTEND THE WILLIAM THOMASON BYWAY (KY 3155) FROM THE SOUTHERN INTERSECTION AT KY 259 WESTERLY TO KY 54. (16CCN)(18CCN),NEW ROUTE(O),Construct Road in New Location,2,Grayson,043-US-0062  -000,19.85,21.005,Impacted,18.90446009,373,53.60195289454428,72.50641298454428
425,424,426,5,Louisville-Southern Indiana (KIPDA) MPO,IP20130128,,Improve safety and reduce congestion at the I-71/KY 53 (North/South First Avenue) interchange. Includes consideration of an additional two-way left turn lane and bike/ped accommodations.,Reconstruction,Interchange Safety Improvements,2,Oldham,093-KY-0053  -000,6.2,6.5,Existing,1.077748291,426,69.68499794994715,70.76274624094715
878,891,879,11,Cumberland Valley ADD,IP20150097,,Address congestion on Add Hollow Road onto US 421 by redirecting onto KY 80.,New Route,Construct Road in New Location,1,Clay,026-US-0421  -000,15.5,17.0,Existing,8.652458928,879,61.957554302940856,70.61001323094085
850,933,851,10,Kentucky River ADD,IP20160286,10-376,IMPROVE KY-15 FROM THE INTERSECTION OF NEW KY-15/30 TO INTERSECTION OF KY-1812.,MAJOR WIDENING(O),Install Two-way Left Turn Lane,1,Breathitt,013-KY-0015  -000,16.75,17.9,Existing,-2.344338473,851,72.28056583300001,69.93622736000002
399,203,400,5,Louisville-Southern Indiana (KIPDA) MPO,IP20080202,8-May,WIDEN TAYLORSVILLE ROAD TO 3 LANES FROM I-265 TO KY-148. (18CCN),MINOR WIDENING(O),Install Two-way Left Turn Lane,1,Jefferson,056-KY-0155  -000,4.4,5.75,Existing,29.25563382,400,39.016318378886666,68.27195219888667
99,366,100,2,Pennyrile ADD,IP20060080,2-899,ADDRESS CONGESTION AND MOBILITY OF US 68 FROM KY 91 TO KY 1007 IN HOPKINSVILLE. (18CCN),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Christian,024-US-0068  -000,9.221,10.137,Existing,31.73536763,100,35.813542639,67.548910269
583,797,584,6,Northern Kentucky ADD,IP20150312,6-162.40,IMPROVE SAFETY AND REDUCE CONGESTION ON KY-536 FROM WILLIAMSWOOD ROAD/CALVARY DRIVE TO KY-17 (PRIORITY SECTION 3). DESIGN PHASE UNDER PARENT NO. 6-162.01. (2012BOP)(18CCR),RECONSTRUCTION(O),Arterial to Partial Control,1,Kenton,059-KY-0536  -000,2.542,4.062,Existing,17.94444879,584,49.58580562226613,67.53025441226613
452,760,453,5,Louisville-Southern Indiana (KIPDA) MPO,IP20150318,5-150.02,SECTION -1 FROM I-65 TO CHIMNEY ROCK DRIVE.(06CCN),RECONSTRUCTION(O),Major Widening-Urban Streets,1,Bullitt,015-KY-0044  -000,13.1,15.1,Existing,21.26616741,453,45.3914163794373,66.6575837894373
738,682,739,8,Cumberland Valley ADD,IP20190032,,Planning study on US 25 to address Connectivity for future development in Mt. Vernon on the western side of I-75 between exit 57 and exit 62.,New Route,Construct Road in New Location,1,Rockcastle,102-US-0025  -000,11.892999999999999,15.665999999999999,Existing,24.66499431,739,37.80413847241778,62.46913278241779
621,478,622,7,Bluegrass ADD,IP20080444,,Reconstruct KY 52 from KY 374 (Charlie Norris Rd) to Drowning Creek Bridge #033B00017N at Estill CL.,Reconstruction,Modernize Roadway-Rural,1,Madison,076-KY-0052  -000,16.334,22.706999999999997,Existing,28.45844074,622,31.420471565601062,59.87891230560106
373,219,374,4,Lincoln Trail ADD,IP20160072,Apr-54,EXTEND THE WILLIAM THOMASON BYWAY (KY 3155) FROM THE SOUTHERN INTERSECTION AT KY 259 WESTERLY TO KY 54. (16CCN)(18CCN),NEW ROUTE(O),Construct Road in New Location,3,Grayson,043-KY-0259  -000,12.55,12.954,Impacted,10.49325755,374,49.275080489000004,59.768338039
548,662,549,6,Northern Kentucky ADD,IP20000018,,Improve safety and mobility along KY 20 (Petersburg Road) from Graves Road to KY 237 (North Bend Road).,Major Widening,Modernize Roadway-Rural,1,Boone,008-KY-0020  -000,14.525,16.62,Existing,48.08731629,549,11.556701875,59.644018165
388,380,389,4,Lake Cumberland ADD,IP20180045,,Extend KY 3535 from its current terminus to the Heartland Parkway (KY 55) near KY 1701 in Taylor County,New Route,,5,Taylor,109-US-0068  -000,0.0,4.87,Impacted,26.33894664,389,32.810044676000004,59.14899131600001
614,451,615,7,Lexington MPO,IP20070219,6-Jul,RECONSTRUCT KY 169 FROM US 68 TO 0.54 MILES NORTH OF CLEAR CREEK RD (MP 14.448 TO MP 19.00). (16CCN),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Jessamine,057-KY-0169  -000,14.448,19.0,Existing,23.12349488,615,34.58387021814797,57.707365098147974
558,462,559,6,Northern Kentucky ADD,IP20080332,,Improve safety and mobility and address geometric deficiencies along KY 22 from Baton Rouge Road to KY 467 (Warsaw Road).  (Section A4 May 2004 Programming Study),Spot Improvement,Modernize Roadway-Rural,1,Grant,041-KY-0022  -000,6.671,10.748,Existing,7.251082383,559,50.405928276,57.657010658999994
255,171,256,3,Barren River ADD,IP20150299,3-8821 / 3-8821.01,"IMPROVE KY-1297 FROM CR-1366 (DONNELLY DRIVE) TO US-31E (ROGER WELLS), AND IMPROVE CR-1366 (DONNELLY DRIVE) FROM KY-1297 TO US-68 IN GLASGOW. (14CCN) (16CCN)",MAJOR WIDENING(O),Install Two-way Left Turn Lane,1,Barren,005-KY-1297  -000,11.085,12.806,Existing,45.25533852,256,11.840904182000001,57.096242702000005
641,798,642,7,Bluegrass ADD,IP20150280,7-117,IMPROVE US 60 (VERSAILLES ROAD) FROM THE BLUEGRASS PARKWAY/HUNTERTOWN PIKE TO PISGAH PIKE. (18CCR),MAJOR WIDENING(O),Modernize Roadway-Rural,1,Woodford,120-US-0060  -000,11.238,12.612,Existing,-2.8987152860000003,642,59.56688087370724,56.66816558770724
364,151,365,4,Elizabethtown-Radcliff MPO,IP20150448,4-153.01,KY 251 IMPROVEMENTS FROM KY 3005 TO KY 434.,PHASE I DESIGN(O),Modernize Roadway-Rural,2,Hardin,047-KY-0434  -000,0.025,3.158,Existing,51.09329215,365,4.296005086999999,55.389297237
658,542,659,7,Bluegrass ADD,IP20160228,4-Jul,RECONSTRUCT KY 33 FROM 100 FEET NORTH OF KY 1267 TO 100 FEET NORTH OF KY 169. (MP 3.04 TO MP 10.65) (16CCN),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Woodford,120-KY-0033  -000,3.04,10.65,Existing,4.4388460510000005,659,50.63204192381794,55.070887974817936
